"Marca temporal","Modalidad","Trabajo","Ciudad de trabajo (Ej.: Asunción)","Salario mensual","Puesto de trabajo (Ej.: Programador, Jefe de Proyecto, etc)"
"2018/09/21 11:43:22 a.m. GMT-4","Remoto","Internacional","Asunción","Entre 12.000.000 a 15.000.000 gs","Jefe de Proyecto (Nota: muchos trabajamos por hora, y no alcanzamos a completar tiempo completo, por lo que convendría preguntar precio por hora en lugar de salario)"
"2018/09/21 11:43:30 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Líder de proyectos"
"2018/09/21 11:43:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/21 11:47:53 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/21 11:48:29 a.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 7.000.000 a 9.000.000 gs","jefe"
"2018/09/21 11:49:46 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Analista-Desarrollador"
"2018/09/21 11:50:17 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Analista/Programador"
"2018/09/21 11:57:27 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Analista programador"
"2018/09/21 12:07:18 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 12:08:12 p.m. GMT-4","Presencial","Nacional (Paraguay)","ASUNCION","Entre 7.000.000 a 9.000.000 gs","JEFE DE PROYECTOS"
"2018/09/21 12:11:48 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Administrador de servidores"
"2018/09/21 12:12:43 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Desarollador full stack"
"2018/09/21 12:15:23 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador/Analista "
"2018/09/21 12:15:56 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","I&D"
"2018/09/21 12:16:02 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Administrador"
"2018/09/21 12:16:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Ninguno"
"2018/09/21 12:17:39 p.m. GMT-4","Presencial","Internacional","Asincion","Entre 5.000.000 a 7.000.000 gs","Infraestructura de Sistemas"
"2018/09/21 12:18:10 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de proyecto"
"2018/09/21 12:20:14 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 12:37:44 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de desarrollo"
"2018/09/21 12:40:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 3.500.000 a 5.000.000 gs","programador"
"2018/09/21 12:47:21 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/21 1:01:13 p.m. GMT-4","Presencial","Nacional (Paraguay)","San lorenzo","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 1:01:38 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Líder de Proyectos"
"2018/09/21 1:04:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Programador"
"2018/09/21 1:05:22 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Mariano Roque Alonso","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 1:16:26 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 1:20:22 p.m. GMT-4","Hibrído","Nacional (Paraguay)","central","Entre 15.000.000 a 18.000.000 gs","Programador"
"2018/09/21 1:46:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 1:50:05 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Analista de Data Mining"
"2018/09/21 2:06:20 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Jefe de proyecto, desarrollador"
"2018/09/21 2:09:50 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador "
"2018/09/21 2:11:36 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Hadoop developer"
"2018/09/21 2:12:44 p.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 7.000.000 a 9.000.000 gs","analista data warehouse"
"2018/09/21 2:12:50 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 2:15:13 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador Senior"
"2018/09/21 2:21:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Más de 18.000.000 gs","Arquitecto"
"2018/09/21 2:38:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 2:41:05 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 2:49:02 p.m. GMT-4","Remoto","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 2:58:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 2:58:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/21 3:03:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Diseñador Gráfico"
"2018/09/21 3:04:16 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Moderador, community manager, creador de contenido."
"2018/09/21 3:11:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 3:17:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/21 3:18:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 3.500.000 a 5.000.000 gs","Analista Programador"
"2018/09/21 3:50:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/21 3:53:24 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 3:57:08 p.m. GMT-4","Presencial","Nacional (Paraguay)","fernando de la mora","Entre 5.000.000 a 7.000.000 gs","analista de sistemas"
"2018/09/21 4:01:54 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 4:39:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 5:36:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","ASUNCION","Entre 7.000.000 a 9.000.000 gs","project leader"
"2018/09/21 5:42:50 p.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 5.000.000 a 7.000.000 gs","programador"
"2018/09/21 8:01:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","CDE","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 9:12:53 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/21 10:07:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador Senior"
"2018/09/21 10:47:39 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/21 11:38:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/22 12:24:18 a.m. GMT-4","Presencial","Internacional","Asuncion","Entre 5.000.000 a 7.000.000 gs","Líder de equipo"
"2018/09/22 12:28:40 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Analista desarrollador "
"2018/09/22 5:33:36 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 15.000.000 a 18.000.000 gs","Jefe de proyecto"
"2018/09/22 8:17:50 a.m. GMT-4","Hibrído","Internacional","San lorenzo","Menos del salario mínimo (2.112.562 gs)","Programador, jefe de proyecto"
"2018/09/22 9:12:17 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 5.000.000 a 7.000.000 gs","Arquitecto de software"
"2018/09/22 10:27:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/22 12:35:08 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe de proyecto"
"2018/09/22 2:31:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/22 5:02:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador "
"2018/09/22 6:09:38 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyectos"
"2018/09/22 6:15:13 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/22 10:52:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/22 11:38:48 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Soporte IT"
"2018/09/23 11:15:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/23 11:48:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 9.000.000 a 12.000.000 gs","Arquitecto de Integración"
"2018/09/23 8:48:56 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Lambare","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/23 10:30:45 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/24 8:08:29 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Team Leader"
"2018/09/24 8:36:41 a.m. GMT-4","Presencial","Internacional","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/24 9:04:54 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista de Investigación"
"2018/09/24 11:06:37 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Ansunción","Entre 5.000.000 a 7.000.000 gs","Analista de Sistemas"
"2018/09/24 11:09:11 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Desarrollador"
"2018/09/24 12:26:10 p.m. GMT-4","Presencial","Nacional (Paraguay)","Encarnacion ","Entre 2.112.562 gs a 3.500.000 gs","Jefe"
"2018/09/24 12:30:24 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/24 1:20:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Luque","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/24 11:40:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Villa Elisa ","Entre 5.000.000 a 7.000.000 gs","Analista Jr"
"2018/09/25 7:25:37 a.m. GMT-4","Presencial","Nacional (Paraguay)","Ciudad del Este","Entre 2.112.562 gs a 3.500.000 gs","Sysadmin"
"2018/09/25 9:00:31 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Líder de proyectos"
"2018/09/25 12:31:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/25 2:18:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Analista y Desarrollador"
"2018/09/25 2:38:22 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/25 3:19:06 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/25 7:19:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 5.000.000 a 7.000.000 gs","Analista y Desarrollador"
"2018/09/26 5:46:12 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/26 3:04:17 p.m. GMT-4","Hibrído","Nacional (Paraguay)","San Lorenzo","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/26 10:39:31 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Salario mínimo 2.112.562 gs","Developer Junior"
"2018/09/26 11:34:48 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/28 12:25:29 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Project manager"
"2018/09/28 3:51:19 p.m. GMT-4","Presencial","Nacional (Paraguay)","Lambare","Salario mínimo 2.112.562 gs","Programador"
"2018/09/28 3:59:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Team de un equipo, desarrollador front-end y back-end"
"2018/09/28 4:11:08 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador web"
"2018/09/28 4:40:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe de backend"
"2018/09/28 5:03:00 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/10/02 11:02:00 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador Medio"
"2018/10/03 6:42:38 p.m. GMT-4","Presencial","Internacional","bolivia","Entre 9.000.000 a 12.000.000 gs","PROGRAMADOR"
"2018/10/05 9:24:50 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de Proyecto"
"2018/10/05 1:57:38 p.m. GMT-4","Presencial","Nacional (Paraguay)","Itapua","Entre 2.112.562 gs a 3.500.000 gs","Programador Jr"
"2018/10/07 1:39:16 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Líder de Proyecto"
"2018/10/07 10:35:56 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Subgerente de implementacion"
"2018/10/09 6:50:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/10/09 7:12:26 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/10/09 7:33:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Desarrollo"
"2018/10/09 7:55:03 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Jefe de Desarrollo "
"2018/10/10 12:02:36 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Java"
"2018/10/10 11:32:12 a.m. GMT-4","Remoto","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Subgerente"
"2018/10/10 6:36:49 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/10/11 12:36:12 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Tema Leader"
"2018/10/14 4:22:48 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Programador, DevOps"
"2018/10/16 10:35:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncio","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/10/18 9:11:34 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador/Analista"
"2018/10/18 9:12:13 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/11/02 4:13:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","lambare","Entre 7.000.000 a 9.000.000 gs","consultor"
"2018/11/14 9:49:23 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/11/19 2:21:02 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 5.000.000 a 7.000.000 gs","Programador java"
"2018/11/24 7:06:11 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/12/01 10:24:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Filadelfia","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/12/01 10:33:32 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Desarrollador"
"2018/12/01 10:37:19 a.m. GMT-4","Presencial","Nacional (Paraguay)","Bella Vista Sur","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/12/01 11:06:58 a.m. GMT-4","Remoto","Internacional","Encarnacion","Más de 18.000.000 gs","Programador"
"2018/12/01 12:07:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 15.000.000 a 18.000.000 gs","Jefe de proyecto"
"2018/12/01 5:01:43 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador Full Stack y Mobile "
"2018/12/01 5:06:06 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/12/01 5:10:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Analista Programador"
"2018/12/01 5:16:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Supervisor de proyecto"
"2018/12/02 11:37:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Analista de sistemas "
"2018/12/02 12:30:22 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/12/02 12:36:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe de proyectos"
"2018/12/02 12:53:43 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunciom","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/12/03 12:24:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2019/01/30 3:19:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
